uuid,date,isp,city,mbps
,2020-09-07,Office National des Postes et Telecommunications ONPT (Maroc Telecom) / IAM,El Hajeb,8.032154119377028
,2023-12-04,Cell C (Pty) Ltd,Vredenburg,0.4927867718609101
,2023-09-19,TE-AS,Port Said,4.075246693026223
,2021-11-09,Cell C (Pty) Ltd,Johannesburg,11.436881852210911
,2022-07-01,OOREDOO TUNISIE SA,El Jem,17.67724251127594
,2021-01-12,EXCELSIMO NETWORKS LIMITED,Lagos,5.761039302307529
,2020-07-17,Optimum Telecom Algeria,,1.5612626300796295
,2021-02-23,Tangerine Limited,,10.233457127352304
,2022-12-08,Telecom Algeria,Batna City,7.803807484611087
,2023-07-03,Skyfi Internet solutions (PTY) Ltd,Pietermaritzburg,3.6768629668190216
,2022-06-06,KAB Technologies,Kuils River,13.927019511700731
,2024-01-31,EXCELSIMO NETWORKS LIMITED,Lagos,7.480740291649255
,2020-04-03,Amobia Communications,Durbanville,0.8252973064841159
,2023-04-10,,Stilfontein,26.65580743493794
,2023-02-24,Wireless Associate Service Providers CC,Schweizer-Reneke,5.916833788368329
,2020-09-28,TOPNET,Sidi Bou Saïd,40.492565497277894
,2020-12-01,Afrihost (Pty) Ltd,Ladybrand,1.994837349359717
,2023-03-08,MTN SA,Tembisa,21.726667325052137
,2020-04-24,Orange Mali SA,Kayes,49.222145227688834
,2022-05-06,ETISALAT MISR,Tanta,6.172392366213106
,2024-03-29,Afrihost (Pty) Ltd,Bellville,93.39013922770546
,2022-03-31,,Bluff,74.44974959952052
,2023-08-04,Vodacom,Levubu,35.740817622196396
,2023-12-03,MTN SA,Sasolburg,29.82512575356142
,2023-04-25,TOPNET,El Marsa,7.532489138501084
,2024-04-10,Multitel Servicos de Telecomunicacoes,Luanda,1.7641733866986498
,2022-11-09,"Teledata, Ghana",Accra,5.503796626331187
,2020-02-23,Afrihost (Pty) Ltd,Camps Bay,9.406362060485428
,2024-01-20,Network Platforms (PTY) LTD,Deneysville,12.120652588349056
,2020-11-18,TOPNET,La Marsa,6.663881498420981
,2020-08-15,Dimension Data (Pty) Ltd - Optinet,Vereeniging,7.490239982334549
,2021-03-07,Zambia Telecommunications Company Ltd aka ZAMTEL,Lusaka,0.1307569281078352
,2021-04-09,Wirulink Pty Ltd,Randburg,24.56432391701032
,2022-06-26,Dimension Data (Pty) Ltd - Optinet,Boksburg,20.753959770476044
,2020-11-23,Telecom Algeria,Bou Saada,1.0280128851696304
,2022-11-06,DIRECT ON PC LTD,Ajah,6.40553846771127
,2022-05-30,TE-AS,Kom Ombo,13.076556091778038
,2022-04-06,Gabon Telecom / Office of Posts and Telecommunications of Gabon,Oyem,4.986214070823298
,2020-11-18,Safaricom Limited,Thika,11.04930688451788
,2021-07-05,Webstorm (Pty) LTD,Durban,30.76299411149901
,2022-02-07,Cell C (Pty) Ltd,Cape Town,12.814795029440624
,2021-06-08,Telkom SA Ltd.,King William's Town,8.979120034677452
,2023-11-27,Office National des Postes et Telecommunications ONPT (Maroc Telecom) / IAM,Safi,35.116734621420754
,2023-11-03,Cipherwave,Pretoria,54.17982819398259
,2022-12-20,MEDITELECOM,Tétouan,16.865033707213268
,2023-08-06,Zanzibar Connections Company Limited,Tabora,3.616152566410411
,2022-08-12,Airtel Networks Limited,Kaduna,26.477044986414896
,2022-12-07,Cable & Wireless (Seychelles) Ltd,,4.692219609019186
,2023-03-18,Orange S.A.,Saint-Pierre,32.68543360546613
,2023-07-11,BCS Group (BCSNet),Delmas,12.73884199864858
,2020-10-05,Afrihost (Pty) Ltd,Hillcrest,15.856935131767198
,2024-07-07,ETISALAT MISR,Alexandria,30.348600129788625
,2022-12-20,M247 Ltd,Cairo,15.795135008661552
,2023-07-23,Vodafone Data,As Santah,0.6105540544222068
,2024-02-28,Mesh Telecom Pty Ltd,Johannesburg,29.275086767288336
,2023-06-21,TOPNET,Khaznadar,9.858483923216545
,2022-12-24,Afrihost (Pty) Ltd,Brakpan,35.46726244402657
,2021-10-09,MTN SA,Sandton,88.40741309567339
,2021-08-04,123 Internetworks Pty. Ltd.,Cape Town,48.2708172501158
,2023-08-06,Office National des Postes et Telecommunications ONPT (Maroc Telecom) / IAM,Midelt,10.682378880520766
,2022-03-11,Level 7 Wireless (Pty) Ltd,Kempton Park,3.17551489881744
